023C    LATIN SMALL LETTER C WITH STROKE
023D    LATIN CAPITAL LETTER L WITH BAR
023E    LATIN CAPITAL LETTER T WITH DIAGONAL STROKE
023F    LATIN SMALL LETTER S WITH SWASH TAIL
0240    LATIN SMALL LETTER Z WITH SWASH TAIL
0241    LATIN CAPITAL LETTER GLOTTAL STOP
0242    LATIN SMALL LETTER GLOTTAL STOP
0243    LATIN CAPITAL LETTER B WITH STROKE
0244    LATIN CAPITAL LETTER U BAR
0245    LATIN CAPITAL LETTER TURNED V
0246    LATIN CAPITAL LETTER E WITH STROKE
0247    LATIN SMALL LETTER E WITH STROKE
0248    LATIN CAPITAL LETTER J WITH STROKE
0249    LATIN SMALL LETTER J WITH STROKE
024A    LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL
024B    LATIN SMALL LETTER Q WITH HOOK TAIL
024C    LATIN CAPITAL LETTER R WITH STROKE
024D    LATIN SMALL LETTER R WITH STROKE
024E    LATIN CAPITAL LETTER Y WITH STROKE
024F    LATIN SMALL LETTER Y WITH STROKE
0250    LATIN SMALL LETTER TURNED A
0251    LATIN SMALL LETTER ALPHA
0252    LATIN SMALL LETTER TURNED ALPHA
0253    LATIN SMALL LETTER B WITH HOOK
0254    LATIN SMALL LETTER OPEN O
0255    LATIN SMALL LETTER C WITH CURL
0256    LATIN SMALL LETTER D WITH TAIL
0257    LATIN SMALL LETTER D WITH HOOK
0258    LATIN SMALL LETTER REVERSED E
0259    LATIN SMALL LETTER SCHWA
025A    LATIN SMALL LETTER SCHWA WITH HOOK
025B    LATIN SMALL LETTER OPEN E
025C    LATIN SMALL LETTER REVERSED OPEN E
025D    LATIN SMALL LETTER REVERSED OPEN E WITH HOOK
025E    LATIN SMALL LETTER CLOSED REVERSED OPEN E
025F    LATIN SMALL LETTER DOTLESS J WITH STROKE
0260    LATIN SMALL LETTER G WITH HOOK
0261    LATIN SMALL LETTER SCRIPT G
0262    LATIN LETTER SMALL CAPITAL G
0263    LATIN SMALL LETTER GAMMA
0264    LATIN SMALL LETTER RAMS HORN
0265    LATIN SMALL LETTER TURNED H
0266    LATIN SMALL LETTER H WITH HOOK
0267    LATIN SMALL LETTER HENG WITH HOOK
0268    LATIN SMALL LETTER I WITH STROKE
0269    LATIN SMALL LETTER IOTA
026A    LATIN LETTER SMALL CAPITAL I
026B    LATIN SMALL LETTER L WITH MIDDLE TILDE
026C    LATIN SMALL LETTER L WITH BELT
026D    LATIN SMALL LETTER L WITH RETROFLEX HOOK
026E    LATIN SMALL LETTER LEZH
026F    LATIN SMALL LETTER TURNED M
0270    LATIN SMALL LETTER TURNED M WITH LONG LEG
0271    LATIN SMALL LETTER M WITH HOOK
0272    LATIN SMALL LETTER N WITH LEFT HOOK
0273    LATIN SMALL LETTER N WITH RETROFLEX HOOK
0274    LATIN LETTER SMALL CAPITAL N
0275    LATIN SMALL LETTER BARRED O
0276    LATIN LETTER SMALL CAPITAL OE
0277    LATIN SMALL LETTER CLOSED OMEGA
0278    LATIN SMALL LETTER PHI
0279    LATIN SMALL LETTER TURNED R
027A    LATIN SMALL LETTER TURNED R WITH LONG LEG
027B    LATIN SMALL LETTER TURNED R WITH HOOK
027C    LATIN SMALL LETTER R WITH LONG LEG
027D    LATIN SMALL LETTER R WITH TAIL
027E    LATIN SMALL LETTER R WITH FISHHOOK
027F    LATIN SMALL LETTER REVERSED R WITH FISHHOOK
0280    LATIN LETTER SMALL CAPITAL R
0281    LATIN LETTER SMALL CAPITAL INVERTED R
0282    LATIN SMALL LETTER S WITH HOOK
0283    LATIN SMALL LETTER ESH
0284    LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK
0285    LATIN SMALL LETTER SQUAT REVERSED ESH
0286    LATIN SMALL LETTER ESH WITH CURL
0287    LATIN SMALL LETTER TURNED T
0288    LATIN SMALL LETTER T WITH RETROFLEX HOOK
0289    LATIN SMALL LETTER U BAR
028A    LATIN SMALL LETTER UPSILON
028B    LATIN SMALL LETTER V WITH HOOK
028C    LATIN SMALL LETTER TURNED V
028D    LATIN SMALL LETTER TURNED W
028E    LATIN SMALL LETTER TURNED Y
028F    LATIN LETTER SMALL CAPITAL Y
0290    LATIN SMALL LETTER Z WITH RETROFLEX HOOK
0291    LATIN SMALL LETTER Z WITH CURL
0292    LATIN SMALL LETTER EZH
0293    LATIN SMALL LETTER EZH WITH CURL
0294    LATIN LETTER GLOTTAL STOP
0295    LATIN LETTER PHARYNGEAL VOICED FRICATIVE
0296    LATIN LETTER INVERTED GLOTTAL STOP
0297    LATIN LETTER STRETCHED C
0298    LATIN LETTER BILABIAL CLICK
0299    LATIN LETTER SMALL CAPITAL B
029A    LATIN SMALL LETTER CLOSED OPEN E
029B    LATIN LETTER SMALL CAPITAL G WITH HOOK
029C    LATIN LETTER SMALL CAPITAL H
029D    LATIN SMALL LETTER J WITH CROSSED-TAIL
029E    LATIN SMALL LETTER TURNED K
029F    LATIN LETTER SMALL CAPITAL L
02A0    LATIN SMALL LETTER Q WITH HOOK
02A1    LATIN LETTER GLOTTAL STOP WITH STROKE
02A2    LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE
02A3    LATIN SMALL LETTER DZ DIGRAPH
02A4    LATIN SMALL LETTER DEZH DIGRAPH
02A5    LATIN SMALL LETTER DZ DIGRAPH WITH CURL
02A6    LATIN SMALL LETTER TS DIGRAPH
02A7    LATIN SMALL LETTER TESH DIGRAPH
02A8    LATIN SMALL LETTER TC DIGRAPH WITH CURL
02A9    LATIN SMALL LETTER FENG DIGRAPH
02AA    LATIN SMALL LETTER LS DIGRAPH
02AB    LATIN SMALL LETTER LZ DIGRAPH
